hash,source,init,data,
EA7E6B36,CRC2,FFFFFFFF,"nHmAction::Wp07Bust::cActWpOnSlingerShot",
7824AF5,CRC2,FFFFFFFF,"nHmAction::Wp07Bust::cActWpOnSlingerShotReload",
298D5437,CRC2,FFFFFFFF,"nHmAction::Wp07Bust::cActWpOnSlingerEmpty",
9303250D,CRC2,FFFFFFFF,"nHmAction::Wp07Bust::cActWpOnClawShoot",
A1C0479C,CRC2,FFFFFFFF,"nHmAction::Wp08Bust::cActWpOnSlingerAim",
67943DAC,CRC2,FFFFFFFF,"nHmAction::Wp08Bust::cActWpOnSlingerShot",
5C036C34,CRC2,FFFFFFFF,"nHmAction::Wp08Bust::cActWpOnSlingerShotReload",
39DAC43B,CRC2,FFFFFFFF,"nHmAction::Wp08Bust::cActWpOnSlingerEmpty",
70162EC4,CRC2,FFFFFFFF,"nHmAction::Wp08Bust::cActWpOnClawShoot",
44BD792,CRC2,FFFFFFFF,"nHmAction::Wp09Bust::cActWpOnSlingerAim",
80899B3B,CRC2,FFFFFFFF,"nHmAction::Wp09Bust::cActWpOnSlingerShot",
ADD9699E,CRC2,FFFFFFFF,"nHmAction::Wp09Bust::cActWpOnSlingerShotReload",
5756DF7A,CRC2,FFFFFFFF,"nHmAction::Wp09Bust::cActWpOnSlingerEmpty",
F1334BE3,CRC2,FFFFFFFF,"nHmAction::Wp09Bust::cActWpOnClawShoot",
70A9F69B,CRC2,FFFFFFFF,"nHmAction::Wp10Bust::cBustInsectOrderBase",
B2786C86,CRC2,FFFFFFFF,"nHmAction::Wp10Bust::cBustInsectAttack",
309BCF26,CRC2,FFFFFFFF,"nHmAction::Wp10Bust::cBustInsectBack",
6AD672BC,CRC2,FFFFFFFF,"nHmAction::Wp10Bust::cActWpOnSlingerAim",
5C310B51,CRC2,FFFFFFFF,"nHmAction::Wp10Bust::cActWpOnSlingerShot",
89E5C893,CRC2,FFFFFFFF,"nHmAction::Wp10Bust::cActWpOnSlingerShotReload",
FAEDEFAC,CRC2,FFFFFFFF,"nHmAction::Wp10Bust::cActWpOnSlingerEmpty",
7908274,CRC2,FFFFFFFF,"nHmAction::Wp10Bust::cActWpOnClawShoot",
22DD0DAF,CRC2,FFFFFFFF,"nHmAction::Wp11Bust::cCharge",
7161201A,CRC2,FFFFFFFF,"nHmAction::Wp11Bust::cQuickCharge",
AE21C232,CRC2,FFFFFFFF,"nHmAction::Wp11Bust::cNoMotionCharge",
AF0DDE68,CRC2,FFFFFFFF,"nHmAction::Wp11Bust::cTempCharge",
39AC4F6F,CRC2,FFFFFFFF,"nHmAction::Wp11Bust::cTempChargeContinue",
CEB78199,CRC2,FFFFFFFF,"nHmAction::Wp11Bust::cShoot",
AE256B8,CRC2,FFFFFFFF,"nHmAction::Wp11Bust::cChargeStepMaxShoot",
37210C4A,CRC2,FFFFFFFF,"nHmAction::Wp11Bust::cBottleSet",
43513FE2,CRC2,FFFFFFFF,"nHmAction::Wp11Bust::cBottleRelease",
CF5DE2B2,CRC2,FFFFFFFF,"nHmAction::Wp11Bust::cActWpOnSlingerAim",
BB2CADC6,CRC2,FFFFFFFF,"nHmAction::Wp11Bust::cActWpOnSlingerShot",
783FCD39,CRC2,FFFFFFFF,"nHmAction::Wp11Bust::cActWpOnSlingerShotReload",
9461F4ED,CRC2,FFFFFFFF,"nHmAction::Wp11Bust::cActWpOnSlingerEmpty",
86B5E753,CRC2,FFFFFFFF,"nHmAction::Wp11Bust::cActWpOnClawShoot",
737DED57,CRC2,FFFFFFFF,"nHmAction::Wp12Bust::cShoot",
26C32B33,CRC2,FFFFFFFF,"nHmAction::Wp12Bust::cShootMiddle",
1AFBFFA9,CRC2,FFFFFFFF,"nHmAction::Wp12Bust::cShootReload",
9D454A3A,CRC2,FFFFFFFF,"nHmAction::Wp12Bust::cShootRapid",
C64D59D5,CRC2,FFFFFFFF,"nHmAction::Wp12Bust::cShootRapidMiddle",
A96F4215,CRC2,FFFFFFFF,"nHmAction::Wp12Bust::cReload",
EC2AA7E1,CRC2,FFFFFFFF,"nHmAction::Wp12Bust::cReloadMiddle",
6BFE2C2D,CRC2,FFFFFFFF,"nHmAction::Wp12Bust::cEmpty",
F4C09F70,CRC2,FFFFFFFF,"nHmAction::Wp12Bust::cShootFlame",
FEBC9082,CRC2,FFFFFFFF,"nHmAction::Wp12Bust::cShootFlameEnd",
64682FA8,CRC2,FFFFFFFF,"nHmAction::Wp12Bust::cShootGatling",
41EE71F8,CRC2,FFFFFFFF,"nHmAction::Wp12Bust::cShootGatlingEnd",
3A049DF5,CRC2,FFFFFFFF,"nHmAction::Wp12Bust::cShootGatlingNoShootEnd",
CAB325F4,CRC2,FFFFFFFF,"nHmAction::Wp12Bust::cSpecialToNormal",
FAB054E1,CRC2,FFFFFFFF,"nHmAction::Wp12Bust::cActWpOnSlingerAim",
